id,x,y
190,-122.0659595,37.3852471
191,-122.0374623,37.334456
192,-122.0374676,37.3342384
193,-122.0484001,37.3341106
194,-122.0684417,37.3862337
195,-122.0633414,37.3335838
196,-122.0673051,37.3356259
197,-122.0216492,37.4039873
198,-122.0042291,37.4079493
199,-122.0016682,37.4083363
200,-121.9989835,37.4089489
201,-121.9932405,37.4103181
202,-121.9291203,37.422509
203,-121.9221359,37.423631
204,-122.0608684,37.3325132
205,-122.086239,37.4165909
206,-122.0683806,37.383681
207,-121.9262937,37.3734885
208,-121.9309734,37.3743958
209,-121.9089642,37.3686474
210,-121.9099567,37.3695995
211,-121.9058385,37.3664204
212,-121.9010514,37.3665255
213,-121.9156778,37.3598772
214,-121.9152862,37.3597194
215,-121.9094676,37.3559439
216,-121.9092784,37.3563704
217,-121.9016411,37.363989
218,-121.8977004,37.3634662
219,-121.9054296,37.365789
220,-121.9048726,37.3607577
221,-121.8874388,37.3627215
222,-121.9212822,37.3467105
223,-121.908322,37.349121
224,-121.9192586,37.3479492
225,-121.8611697,37.3495063
226,-121.8640072,37.3526642
227,-121.8649673,37.3527002
228,-121.8639509,37.3517468
229,-121.8660013,37.353885
230,-121.8976323,37.3365138
231,-121.8970868,37.3333789
232,-121.8968535,37.3342403
233,-121.8977235,37.3374071
234,-121.8543995,37.3380209
235,-121.8617602,37.3335019
236,-121.8510677,37.3391533
237,-121.8481599,37.3414788
238,-121.8480676,37.3366087
239,-121.8496027,37.3359803
240,-121.8421641,37.3465292
241,-121.8482869,37.3362411
242,-121.8946068,37.326766
243,-121.8941806,37.3274616
244,-121.8854482,37.3251609
245,-121.8824262,37.3263798
246,-121.8884199,37.3249415
247,-121.8779354,37.3275475
248,-121.8940233,37.3232049
249,-121.896197,37.3226283
250,-121.8931806,37.3239917
251,-121.8924844,37.3241411
252,-121.8931552,37.3233829
253,-121.8892684,37.3243351
254,-121.8904839,37.319784
255,-121.889476,37.317995
256,-121.8899715,37.3204994
257,-121.8877854,37.3244964
258,-121.8857832,37.3115406
259,-121.8874208,37.3149196
260,-121.911289,37.4108263
261,-121.9126901,37.4142538
262,-121.9098183,37.4038341
263,-121.9100485,37.4055297
264,-121.9187573,37.4337102
265,-121.8420672,37.2530654
266,-121.8586969,37.2640545
267,-121.8586602,37.2591979
268,-121.874745,37.2991567
269,-121.871493,37.2914039
270,-121.8642575,37.278724
271,-121.838238,37.3505813
272,-121.9190138,37.424335
273,-121.9167296,37.4267581
274,-121.9185374,37.4296549
275,-121.9179358,37.425334
276,-121.9093649,37.4045299
277,-121.9119421,37.4119288
278,-122.0270205,37.334537
279,-122.0270138,37.3342959
280,-122.0797908,37.4127947
281,-122.0629669,37.3332166
282,-121.8589683,37.2556514
283,-121.8713579,37.256127
284,-121.881231,37.2536978
285,-121.8753236,37.2555791
286,-121.8349917,37.2496493
287,-121.8853189,37.4288958
288,-121.8902932,37.4415075
289,-121.9800882,37.3179642
290,-121.9557333,37.3164405
291,-121.9388828,37.3173084
292,-121.9453392,37.3166502
293,-121.9406109,37.317534
294,-121.9403461,37.3147427
295,-121.946132,37.2755962
296,-121.9488235,37.2657097
297,-121.9076988,37.3966914
298,-121.9079867,37.398742
299,-122.0470216,37.4032531
300,-121.9914879,37.3186875
301,-122.0048793,37.3255374
302,-121.9724365,37.384341
303,-121.9572913,37.3800207
304,-121.9451445,37.3772882
305,-121.9458529,37.3776556
306,-121.9390518,37.376128
307,-121.9417866,37.3766633
308,-121.9414033,37.3765913
309,-121.9428457,37.3770652
310,-121.9241789,37.3729845
311,-122.0217415,37.4041254
312,-122.0265754,37.4028708
313,-121.8085474,37.2823528
314,-121.8098412,37.290351
315,-121.9467157,37.2731442
316,-121.9471043,37.2691734
317,-121.8783388,37.3034168
318,-121.8745834,37.2980811
319,-121.8587843,37.2567088
320,-121.8590011,37.2566731
321,-121.8645378,37.2553794
322,-121.8666064,37.2554955
323,-121.8638272,37.2556865
324,-121.8378414,37.3539991
325,-121.8429683,37.3631474
326,-121.8330042,37.3201966
327,-121.8672928,37.3887175
328,-121.8602246,37.3824066
329,-121.8699857,37.3912151
330,-121.8747929,37.3963978
331,-121.8771151,37.4042729
332,-121.8500301,37.3720973
333,-121.846069,37.3682745
334,-121.8433784,37.3638195
335,-121.8456598,37.3678119
336,-121.9771724,37.2247791
337,-121.9780789,37.2243187
338,-121.8644898,37.2783638
339,-121.8616807,37.2707968
340,-121.8628155,37.2760198
341,-121.862531,37.2730516
342,-121.9058915,37.2507998
343,-122.0133516,37.4058939
344,-121.9955162,37.4097004
345,-122.0016365,37.4088218
346,-121.9983814,37.409534
347,-121.9953142,37.4102195
348,-122.0038464,37.4082098
349,-121.999426,37.4092994
350,-121.9608044,37.4195763
351,-121.9559169,37.4194639
352,-121.9387528,37.4200654
353,-121.9336682,37.4217692
354,-121.9835378,37.413368
355,-121.9980313,37.4091502
356,-121.9877655,37.2177073
357,-121.9881705,37.2174915
358,-121.918291,37.3162876
359,-121.896784,37.3227897
360,-122.0499169,37.3230235
361,-122.0675304,37.3355406
362,-121.9404768,37.3098403
363,-121.9399449,37.3176019
364,-121.9416922,37.3173031
365,-121.9407127,37.3192632
366,-121.9404234,37.3161999
367,-121.9406328,37.3237674
368,-121.8062765,37.2786921
369,-121.809543,37.2851732
370,-121.8080924,37.2809418
371,-121.9350158,37.335389
372,-121.9144493,37.3516214
373,-121.908584,37.3985303
374,-121.9080046,37.3968342
375,-121.9748379,37.3850319
376,-122.0110686,37.3290405
377,-121.9406912,37.3263219
378,-122.004752,37.3257431
379,-121.9408721,37.3270157
380,-121.9154678,37.3158336
381,-121.9269114,37.3168894
382,-122.0356904,37.3037603
383,-122.0284538,37.2969071
384,-122.0267158,37.2952044
385,-122.0363181,37.3046222
386,-121.8312684,37.2481836
387,-121.9200373,37.3651758
388,-121.9237217,37.3678843
389,-121.9295092,37.3745711
390,-121.8485328,37.2551351
391,-121.8542846,37.2553014
392,-121.8590449,37.2607378
393,-121.852709,37.2555756
394,-121.9732166,37.2293738
395,-121.9733981,37.229505
396,-121.9548748,37.255822
397,-121.9560549,37.2562106
398,-121.9616302,37.2580321
399,-121.9561179,37.2557143
400,-121.9552717,37.2561551
401,-121.95392,37.2581952
402,-121.9560871,37.2550535
403,-121.9531741,37.2599813
404,-121.9513611,37.2540928
405,-121.957793,37.2530286
406,-121.9578701,37.2528765
407,-121.9604942,37.2479264
408,-121.9603431,37.2569388
409,-121.9583914,37.2564385
410,-121.9606108,37.2471751
411,-121.9587104,37.2496767
412,-121.9573532,37.253272
413,-121.9591585,37.2488173
414,-121.9583839,37.2506066
415,-121.9447436,37.2531972
416,-121.946986,37.2538863
417,-121.9505135,37.2547076
418,-121.9513824,37.2615898
419,-121.9440123,37.2533582
420,-121.9239061,37.2504157
421,-121.9291504,37.2507163
422,-121.9378498,37.2519709
423,-121.9698096,37.2600496
424,-122.001524,37.2739797
425,-122.0017761,37.2738346
426,-122.0119744,37.2804544
427,-122.0116096,37.2798653
428,-121.9689826,37.2600316
429,-121.9165331,37.2506775
430,-121.8805933,37.2541758
431,-121.9048923,37.3474378
432,-121.9041967,37.3462912
433,-121.9037939,37.3466488
434,-121.8957132,37.3288591
435,-121.8959161,37.3305517
436,-121.8998332,37.3214965
437,-121.880719,37.3270541
438,-121.870924,37.3284757
439,-121.8676419,37.3301477
440,-121.9256981,37.342737
441,-121.9277191,37.3411323
442,-121.8422972,37.3299601
443,-121.8874262,37.3625127
444,-121.8413221,37.3604004
445,-121.8490101,37.3703825
446,-121.8474932,37.3697712
447,-121.8625192,37.3845108
448,-121.8628786,37.3848433
449,-121.8628196,37.383995
450,-121.8611399,37.3823923
451,-121.8632326,37.3843787
452,-121.8654964,37.3864331
453,-121.867502,37.3885555
454,-121.8392567,37.3558838
455,-121.838946,37.3553858
456,-121.838031,37.3523286
457,-121.9157415,37.422175
458,-121.9191945,37.4334673
459,-121.9132415,37.4165299
460,-121.874524,37.3964703
461,-121.8348094,37.3220609
462,-121.8132619,37.299333
463,-121.8096505,37.2921139
464,-121.8102764,37.2941013
465,-121.8112296,37.2978998
466,-121.8099397,37.2949793
467,-121.9343118,37.3755992
468,-121.9181749,37.3639875
469,-121.9187387,37.363682
470,-121.978162,37.4150303
471,-121.937718,37.2927793
472,-121.939509,37.2967583
473,-121.9385163,37.2949029
474,-121.8789297,37.3047311
475,-121.8307597,37.2475776
476,-121.8398203,37.2523399
477,-121.9044093,37.3467815
478,-121.9043626,37.382567
479,-121.858248,37.3802298
480,-121.8587097,37.3803205
481,-121.9689386,37.3835558
482,-121.8799182,37.4116763
483,-121.8822591,37.4203511
484,-121.8792426,37.4118938
485,-121.8787201,37.4096166
486,-121.8816858,37.419468
487,-121.9228336,37.3167447
488,-121.9146837,37.3155222
489,-121.9312288,37.3170742
490,-122.0883624,37.4181423
491,-121.8557245,37.3378047
492,-121.8914079,37.3223115
