id,V1,V2,length
332,168,305,1189.824
333,169,170,242.436
334,169,672,254.53
335,170,171,73.842
336,171,172,179.446
337,172,303,401.363
338,173,174,257.422
339,174,175,56.81
340,175,176,319.089
341,176,481,138.459
342,177,534,378.739
343,177,625,34.082
344,178,194,178.636
345,178,180,444.829
346,178,685,519.1300000000001
347,179,663,526.596
348,179,564,98.452
349,180,190,576.946
350,181,678,1332.504
351,181,536,572.753
352,182,510,533.189
353,182,206,411.331
354,183,508,716.9390000000001
355,183,680,1286.1699999999998
356,184,675,163.505
357,184,377,873.01
358,185,186,893.0029999999999
359,185,279,759.7260000000001
360,186,301,577.546
361,187,532,366.758
362,187,534,2211.941999999999
363,188,499,444.75700000000006
364,190,685,401.525
365,191,193,969.605
366,191,278,923.226
367,191,278,935.463
368,192,279,924.268
369,192,279,935.833
370,195,196,422.11600000000004
371,195,688,27.106
372,196,361,140.469
373,197,343,762.972
374,197,632,387.999
375,197,684,893.395
376,198,201,1005.666
377,198,199,230.83499999999998
378,198,343,837.5510000000002
379,199,200,246.731
380,200,355,87.03
381,201,344,212.43400000000003
382,202,353,410.422
383,202,608,376.477
384,203,593,61.645
385,203,457,711.393
386,203,596,382.286
387,204,281,201.397
388,205,490,254.805
389,205,280,712.858
390,206,625,575.571
391,207,467,755.485
392,207,662,811.5809999999999
393,207,310,195.1
394,208,599,60.281
395,208,306,739.553
396,209,219,445.699
397,210,607,357.161
398,210,211,507.885
399,213,223,1363.7740000000001
400,213,388,1153.9270000000001
401,213,469,503.05699999999996
402,214,468,539.921
403,214,663,1225.1070000000002
404,215,670,269.888
405,215,617,670.87
406,216,372,699.257
407,216,220,719.3370000000001
408,216,671,344.28499999999997
409,217,218,354.029
410,218,613,544.3980000000001
411,220,671,279.924
412,221,614,703.029
413,221,530,423.272
414,221,659,1842.4030000000002
415,222,645,226.777
416,223,639,373.309
417,224,617,572.663
418,225,622,350.55899999999997
419,225,627,781.04
420,225,615,325.301
421,226,659,609.0240000000001
422,226,627,351.55
423,226,622,84.318
424,227,228,138.961
425,227,229,160.454
426,228,605,299.011
427,229,605,597.167
428,229,513,335.253
429,230,231,351.93399999999997
430,231,616,103.32600000000001
431,232,233,363.419
432,232,435,419.52900000000005
433,234,236,628.597
434,234,665,354.576
435,234,674,285.751
436,235,674,536.4369999999999
437,235,567,728.222
438,236,689,340.712
439,236,604,240.606
440,237,552,435.164
441,237,238,613.6479999999999
442,237,571,804.5389999999998
443,238,491,877.9959999999999
444,238,442,901.972
445,239,603,964.8799999999999
446,239,553,964.7959999999999
447,239,674,770.4899999999999
448,240,676,201.334
449,240,552,337.528
450,240,665,1099.284
451,241,604,166.28900000000002
452,241,668,75.203
453,242,257,913.157
454,242,434,253.034
455,243,435,377.8
456,243,246,625.516
457,243,249,854.1709999999999
458,243,523,361.3190000000001
459,244,245,300.15700000000004
460,244,253,350.27699999999993
461,244,257,219.771
462,245,437,168.79500000000002
463,246,254,848.397
464,246,576,301.207
465,247,438,630.0989999999999
466,247,437,253.18099999999998
467,248,252,79.273
468,248,359,248.524
469,248,495,333.54900000000004
470,249,254,673.004
471,249,578,351.6140000000001
472,250,512,558.6999999999999
473,250,575,346.442
474,250,251,63.763
475,252,253,359.961
476,253,359,686.778
477,254,493,78.481
478,255,256,282.023
479,255,524,365.966
480,255,259,390.221
481,256,257,563.209
482,258,259,477.1110000000001
483,258,602,77.33800000000001
484,259,474,1360.3709999999996
485,260,459,657.238
486,260,545,468.031
487,261,277,266.836
488,261,457,921.7600000000001
489,261,597,1101.556
490,262,621,257.611
491,262,263,189.715
492,263,374,983.7600000000001
493,263,277,731.5909999999999
494,264,540,393.903
495,264,593,1323.5069999999998
496,265,286,732.4979999999999
497,265,390,625.5840000000001
498,266,341,1071.5439999999999
499,266,267,540.04
500,266,319,821.8120000000001
501,267,322,1027.484
502,268,474,722.4839999999999
503,268,269,909.1139999999999
504,269,270,1554.2110000000002
505,270,340,329.56600000000003
506,270,341,650.06
507,271,324,386.29400000000004
508,271,676,373.359
509,272,538,166.106
510,272,596,674.167
511,273,600,590.059
512,274,275,494.43399999999997
513,274,597,689.635
514,274,458,428.528
515,275,644,138.404
516,275,538,38.673
517,276,545,253.13899999999998
518,276,547,228.024
519,277,597,1374.228
520,280,687,265.69300000000004
521,280,500,242.776
522,282,323,430.16700000000003
523,282,393,554.056
524,283,323,668.306
525,284,285,564.32
526,286,475,439.75699999999995
527,287,555,202.495
528,287,486,1099.029
529,288,549,236.40699999999998
530,288,618,118.837
531,289,300,1020.468
532,290,568,618.49
533,291,581,325.672
534,291,293,501.996
535,291,568,876.096
536,292,642,951.377
537,292,568,302.512
538,293,365,192.62099999999998
539,293,652,269.084
540,294,363,320.10900000000004
541,294,367,1005.835
542,294,362,545.366
543,295,315,277.51
544,296,315,848.575
545,296,418,511.96400000000006
546,297,298,230.123
547,297,545,1135.795
548,297,478,1598.013
549,298,620,317.501
550,299,521,383.063
551,300,301,1408.512
552,302,672,271.832
553,302,375,225.651
554,303,304,1116.131
555,303,672,1149.961
556,304,307,304.739
557,305,309,273.711
558,306,308,214.076
559,307,308,34.803
560,309,662,704.5719999999999
561,311,626,745.8620000000001
562,312,632,64.586
563,312,631,68.376
564,313,463,1093.605
565,313,368,454.228
566,314,369,576.35
567,314,462,1076.019
568,314,464,419.29499999999996
569,315,316,461.173
570,317,318,681.591
571,317,612,1201.498
572,318,519,983.28
573,318,611,565.745
574,319,320,19.594
575,319,393,566.2230000000001
576,321,391,917.6120000000001
577,321,391,907.7340000000002
578,321,322,183.57600000000002
579,323,392,832.319
580,324,589,612.7650000000001
581,325,334,83.059
582,325,444,338.333
583,326,461,261.64
584,326,635,866.8879999999999
585,327,329,365.69
586,327,479,1236.731
587,327,554,312.705
588,328,447,309.61699999999996
589,328,479,299.359
590,329,460,712.854
591,331,485,610.8770000000001
592,331,460,897.804
593,332,479,1159.766
594,332,334,1098.2559999999999
595,332,446,342.28499999999997
596,333,446,208.657
597,333,335,62.878
598,334,656,258.225
599,335,656,230.89999999999998
600,336,542,271.68
601,336,356,1227.184
602,337,357,1180.1819999999998
603,338,609,359.47200000000004
604,338,339,882.242
605,338,519,1433.9039999999998
606,339,609,528.271
607,340,610,86.357
608,341,610,311.225
609,342,429,942.027
610,342,430,2296.907
611,344,355,230.438
612,345,348,206.821
613,345,349,202.402
614,346,349,95.88
615,346,347,281.53200000000004
616,350,657,310.823
617,350,351,452.80300000000005
618,351,657,737.6869999999999
619,352,529,284.37800000000004
620,352,655,145.493
621,354,527,1320.3450000000003
622,354,527,1315.706
623,356,357,751.7330000000001
624,358,487,406.58299999999997
625,359,578,313.889
626,360,518,448.47299999999996
627,360,496,493.35200000000003
628,362,581,1163.48
629,362,472,1467.4859999999999
630,363,364,463.472
631,364,595,618.9769999999999
632,365,366,342.255
633,365,638,395.99800000000005
634,367,377,284.251
635,367,642,169.149
636,369,370,491.218
637,371,441,907.945
638,371,675,160.071
639,372,645,587.495
640,373,374,195.42000000000002
641,373,546,222.649
642,376,378,668.114
643,378,569,1449.923
644,379,643,278.303
645,380,488,77.506
646,381,586,348.05699999999996
647,382,383,999.533
648,382,383,997.787
649,382,537,1958.786
650,383,427,2423.86
651,384,385,1363.8339999999998
652,384,385,1352.616
653,384,426,2106.951
654,385,496,1926.0949999999998
655,386,476,886.876
656,387,564,128.666
657,387,388,444.7289999999999
658,389,467,439.64
659,389,662,506.467
660,389,598,314.421
661,390,391,509.419
662,390,392,1423.3839999999998
663,395,541,348.62
664,395,407,2370.5119999999997
665,396,397,113.11099999999999
666,396,400,330.506
667,396,417,407.51500000000004
668,397,399,394.366
669,397,398,533.738
670,398,403,889.764
671,399,405,333.53
672,399,544,954.746
673,400,401,256.469
674,400,402,142.171
675,401,418,439.228
676,401,412,626.969
677,402,408,753.7060000000002
678,402,414,535.204
679,403,404,910.3100000000002
680,403,544,414.30199999999996
681,404,415,594.3109999999999
682,404,414,832.881
683,405,406,18.238
684,405,408,609.7280000000001
685,406,661,361.784
686,406,407,597.431
687,407,661,342.261
688,409,415,1264.585
689,410,414,429.71099999999996
690,410,412,736.717
691,411,412,417.746
692,411,413,104.073
693,416,417,325.323
694,416,624,980.614
695,416,419,269.665
696,417,418,983.9559999999999
697,419,624,1255.542
698,419,623,646.805
699,420,422,1252.3890000000001
700,421,623,701.1200000000001
701,421,429,1117.432
702,423,425,3223.699
703,424,426,1173.9389999999999
704,424,426,1179.475
705,424,428,3277.3039999999987
706,425,427,1115.5919999999999
707,425,427,1105.503
708,431,654,69.11500000000001
709,432,477,58.760999999999996
710,433,477,57.076
711,434,574,656.461
712,434,616,416.849
713,436,575,311.66499999999996
714,438,567,259.974
715,439,640,290.042
716,440,441,252.757
717,441,514,261.687
718,442,461,1100.079
719,443,513,1870.144
720,444,589,164.647
721,447,448,48.737
722,448,554,268.62
723,449,450,232.062
724,449,451,56.142
725,450,480,314.96
726,451,452,303.635
727,452,453,295.406
728,453,480,1200.866
729,454,455,61.823
730,455,456,351.687
731,456,588,458.02700000000004
732,456,664,275.39000000000004
733,458,539,1467.1060000000002
734,459,600,588.26
735,462,464,649.1030000000001
736,462,647,275.51
737,463,466,320.031
738,465,649,416.459
739,465,466,347.34999999999997
740,466,650,965.6659999999999
741,468,565,80.087
742,469,565,79.423
743,470,528,802.1059999999999
744,472,473,224.262
745,476,660,222.896
746,477,653,19.198
747,477,516,17.701
748,484,485,257.908
749,485,486,1126.3890000000001
750,487,583,1196.398
751,487,580,1012.1590000000001
752,488,584,346.61199999999997
753,489,579,369.90999999999997
754,489,595,310.08200000000005
755,489,586,35.04
756,491,566,158.982
757,491,571,553.231
758,492,493,371.46400000000006
759,492,612,1219.342
760,492,574,165.142
761,493,577,608.896
762,494,495,109.767
763,494,677,416.05099999999993
764,496,673,516.637
765,498,591,741.6540000000001
766,498,499,261.447
767,500,641,214.0
768,502,681,1003.204
769,502,503,333.24100000000004
770,503,520,91.785
771,504,505,207.31
772,504,691,375.778
773,506,507,280.95
774,509,629,634.745
775,511,515,318.416
776,511,585,235.289
777,516,654,18.987000000000002
778,517,518,241.168
779,518,673,423.69399999999996
780,519,611,376.884
781,521,522,80.961
782,523,524,411.60699999999997
783,526,528,837.608
784,527,657,535.027
785,530,614,283.444
786,532,633,105.705
787,539,608,44.898
788,539,644,486.537
789,540,593,1685.97
790,543,544,272.786
791,546,621,119.534
792,547,620,109.501
793,548,570,162.088
794,548,667,83.586
795,549,559,514.1610000000001
796,550,558,497.829
797,551,618,472.032
798,552,665,747.52
799,553,573,753.9320000000001
800,555,557,469.226
801,556,560,532.894
802,557,558,57.669
803,559,560,57.813
804,561,658,274.105
805,562,565,5.104
806,562,564,5.297
807,563,564,5.08
808,563,565,6.897
809,566,666,685.9680000000001
810,572,667,281.983
811,573,615,547.6959999999999
812,573,689,244.704
813,577,612,242.406
814,577,602,302.8910000000001
815,578,677,312.344
816,579,642,763.3120000000001
817,580,581,86.11500000000001
818,582,583,49.632
819,582,587,234.16400000000004
820,583,677,854.0830000000001
821,584,585,593.429
822,598,663,597.613
823,601,666,427.46700000000004
824,606,668,157.55
825,613,669,253.041
826,615,622,691.02
827,619,640,708.515
828,627,659,250.463
829,631,684,371.99399999999997
830,634,646,59.388
831,635,637,1050.277
832,636,647,794.936
833,636,646,1253.197
834,637,648,165.053
835,638,643,197.601
836,639,654,53.574999999999996
837,641,686,873.8870000000001
838,648,650,431.831
839,649,650,209.64800000000002
840,651,678,428.194
841,651,682,112.074
842,653,654,18.786
843,669,670,337.68100000000004
844,678,679,250.938
845,679,683,432.56399999999996
846,680,682,397.7319999999999
847,681,683,452.4
848,683,684,371.99199999999996
